Algorithm,Iteration,Time_sec,PSNR,SSIM
AMDD,3,0.508,25.12,0.5500
AMDD,28,1.003,23.10,0.4300
AMDD,61,1.515,22.03,0.3995
AMDD,100,1.989,21.78,0.3934
AMDD,102,2.008,21.77,0.3932
AMDD,138,2.503,21.73,0.3923
AMDD,183,3.004,21.72,0.3921
AMDD,200,3.153,21.72,0.3921
AMDD,236,3.506,21.72,0.3921
AMDD,282,4.001,21.72,0.3921
AMDD,300,4.177,21.72,0.3921
AMDD,329,4.504,21.72,0.3921
AMDD,367,5.005,21.72,0.3921
AMDD,400,5.420,21.72,0.3921
AMDD,406,5.503,21.72,0.3921
AMDD,443,6.002,21.72,0.3921
AMDD,468,6.519,21.72,0.3921
AMDD,500,6.821,21.72,0.3921
ISTA,100,0.287,21.67,0.3878
ISTA,178,0.504,21.70,0.3884
ISTA,200,0.570,21.70,0.3884
ISTA,300,0.823,21.70,0.3884
ISTA,362,1.002,21.70,0.3884
ISTA,400,1.112,21.70,0.3884
ISTA,500,1.405,21.70,0.3884
FISTA,100,0.487,21.68,0.3873
FISTA,105,0.501,21.69,0.3873
FISTA,200,0.934,21.68,0.3872
FISTA,216,1.001,21.68,0.3872
FISTA,300,1.425,21.68,0.3872
FISTA,318,1.511,21.68,0.3870
FISTA,400,1.837,21.68,0.3872
FISTA,442,2.003,21.68,0.3873
FISTA,500,2.263,21.68,0.3874

"Threshold Hits (PSNR -> Iter, Time)"
Algorithm,Threshold(dB),Hit_Iteration,Hit_Time_sec
AMDD,20,1,0.484
AMDD,23,1,0.484
AMDD,25,2,0.498
ISTA,20,20,0.057
ISTA,23,Did Not Hit,N/A
ISTA,25,Did Not Hit,N/A
FISTA,20,10,0.035
FISTA,23,Did Not Hit,N/A
FISTA,25,Did Not Hit,N/A

BM3D Quick Profile
Time_sec,Final_PSNR,Final_SSIM
19.127,20.45,0.3967
