Algorithm,Iteration,Time_sec,PSNR,SSIM
AMDD,63,0.502,21.80,0.3736
AMDD,100,0.632,21.64,0.3687
AMDD,197,1.003,21.62,0.3690
AMDD,200,1.015,21.62,0.3680
AMDD,300,1.335,21.62,0.3680
ISTA,27,0.502,20.08,0.3503
ISTA,58,1.011,20.08,0.3502
ISTA,90,1.513,20.08,0.3503
ISTA,100,1.676,20.08,0.3502
ISTA,117,2.006,20.08,0.3502
ISTA,148,2.506,20.08,0.3502
ISTA,177,3.001,20.08,0.3502
ISTA,200,3.373,20.08,0.3502
ISTA,209,3.504,20.08,0.3502
ISTA,234,4.016,20.08,0.3502
ISTA,264,4.508,20.08,0.3502
ISTA,294,5.006,20.08,0.3502
ISTA,300,5.112,20.08,0.3502
FISTA,34,0.510,20.08,0.3504
FISTA,61,1.001,20.08,0.3504
FISTA,91,1.504,20.08,0.3504
FISTA,100,1.688,20.08,0.3504
FISTA,120,2.018,20.08,0.3503
FISTA,152,2.512,20.08,0.3504
FISTA,177,3.004,20.08,0.3503
FISTA,200,3.394,20.08,0.3504
FISTA,206,3.503,20.08,0.3504
FISTA,237,4.015,20.08,0.3504
FISTA,266,4.517,20.08,0.3504
FISTA,291,5.001,20.08,0.3503
FISTA,300,5.188,20.08,0.3504

"Threshold Hits (PSNR -> Iter, Time)"
Algorithm,Threshold(dB),Hit_Iteration,Hit_Time_sec
AMDD,20,1,0.230
AMDD,23,3,0.245
AMDD,25,Did Not Hit,N/A
ISTA,20,6,0.161
ISTA,23,Did Not Hit,N/A
ISTA,25,Did Not Hit,N/A
FISTA,20,4,0.062
FISTA,23,Did Not Hit,N/A
FISTA,25,Did Not Hit,N/A

BM3D Quick Profile
Time_sec,Final_PSNR,Final_SSIM
14.582,20.43,0.4013
