Algorithm,Iteration,Time_sec,PSNR,SSIM
AMDD,74,0.500,21.68,0.3648
AMDD,100,0.601,21.60,0.3630
AMDD,200,0.961,21.58,0.3623
AMDD,211,1.000,21.58,0.3633
AMDD,300,1.305,21.57,0.3623
ISTA,26,0.518,20.03,0.3450
ISTA,47,1.003,20.03,0.3449
ISTA,71,1.510,20.03,0.3449
ISTA,97,2.007,20.03,0.3449
ISTA,100,2.070,20.03,0.3449
ISTA,120,2.506,20.03,0.3449
ISTA,147,3.010,20.03,0.3449
ISTA,172,3.503,20.03,0.3449
ISTA,197,4.006,20.03,0.3449
ISTA,200,4.068,20.03,0.3450
ISTA,227,4.514,20.03,0.3449
ISTA,251,5.003,20.03,0.3449
ISTA,276,5.516,20.03,0.3449
ISTA,300,5.970,20.03,0.3449
FISTA,20,0.529,20.03,0.3451
FISTA,45,1.008,20.03,0.3450
FISTA,73,1.510,20.03,0.3450
FISTA,98,2.024,20.03,0.3450
FISTA,100,2.053,20.03,0.3450
FISTA,125,2.515,20.03,0.3450
FISTA,156,3.002,20.03,0.3450
FISTA,187,3.513,20.03,0.3450
FISTA,200,3.765,20.03,0.3450
FISTA,210,4.008,20.03,0.3451
FISTA,238,4.527,20.03,0.3450
FISTA,262,5.026,20.03,0.3450
FISTA,287,5.510,20.03,0.3450
FISTA,300,5.788,20.03,0.3451

"Threshold Hits (PSNR -> Iter, Time)"
Algorithm,Threshold(dB),Hit_Iteration,Hit_Time_sec
AMDD,20,1,0.201
AMDD,23,3,0.212
AMDD,25,Did Not Hit,N/A
ISTA,20,7,0.117
ISTA,23,Did Not Hit,N/A
ISTA,25,Did Not Hit,N/A
FISTA,20,5,0.081
FISTA,23,Did Not Hit,N/A
FISTA,25,Did Not Hit,N/A

BM3D Quick Profile
Time_sec,Final_PSNR,Final_SSIM
11.533,20.41,0.3947
