Algorithm,Iteration,Time_sec,PSNR,SSIM
AMDD,100,0.492,19.87,0.3369
AMDD,102,0.502,19.87,0.3369
AMDD,200,0.903,19.83,0.3362
AMDD,223,1.005,19.83,0.3363
AMDD,300,1.338,19.83,0.3362
ISTA,1,0.617,18.27,0.2669
ISTA,21,1.011,20.08,0.3455
ISTA,42,1.503,20.08,0.3455
ISTA,68,2.031,20.08,0.3455
ISTA,83,2.514,20.08,0.3455
ISTA,100,2.855,20.08,0.3455
ISTA,108,3.020,20.08,0.3455
ISTA,135,3.512,20.08,0.3455
ISTA,160,4.023,20.08,0.3456
ISTA,186,4.506,20.08,0.3455
ISTA,200,4.785,20.08,0.3455
ISTA,212,5.016,20.08,0.3455
ISTA,239,5.513,20.08,0.3455
ISTA,263,6.006,20.08,0.3455
ISTA,291,6.501,20.08,0.3455
ISTA,300,6.647,20.08,0.3455
FISTA,30,0.511,20.08,0.3457
FISTA,56,1.010,20.08,0.3457
FISTA,85,1.514,20.08,0.3457
FISTA,100,1.847,20.08,0.3457
FISTA,108,2.008,20.08,0.3456
FISTA,135,2.500,20.08,0.3457
FISTA,162,3.016,20.08,0.3457
FISTA,188,3.506,20.08,0.3457
FISTA,200,3.710,20.08,0.3457
FISTA,215,4.003,20.08,0.3457
FISTA,240,4.509,20.08,0.3457
FISTA,254,5.003,20.08,0.3457
FISTA,283,5.514,20.08,0.3457
FISTA,300,5.848,20.08,0.3457

"Threshold Hits (PSNR -> Iter, Time)"
Algorithm,Threshold(dB),Hit_Iteration,Hit_Time_sec
AMDD,20,1,0.113
AMDD,23,4,0.127
AMDD,25,Did Not Hit,N/A
ISTA,20,6,0.733
ISTA,23,Did Not Hit,N/A
ISTA,25,Did Not Hit,N/A
FISTA,20,4,0.068
FISTA,23,Did Not Hit,N/A
FISTA,25,Did Not Hit,N/A

BM3D Quick Profile
Time_sec,Final_PSNR,Final_SSIM
9.984,20.40,0.3938
