Algorithm,Iteration,Time_sec,PSNR,SSIM
AMDD,14,0.502,23.74,0.4446
AMDD,100,0.809,21.54,0.3620
AMDD,163,1.003,21.52,0.3622
AMDD,200,1.170,21.51,0.3614
AMDD,277,1.501,21.51,0.3621
AMDD,300,1.597,21.51,0.3614
ISTA,20,0.531,19.98,0.3435
ISTA,42,1.019,19.98,0.3435
ISTA,60,1.513,19.98,0.3435
ISTA,80,2.006,19.98,0.3435
ISTA,100,2.489,19.98,0.3435
ISTA,101,2.511,19.98,0.3435
ISTA,123,3.063,19.98,0.3436
ISTA,143,3.503,19.98,0.3435
ISTA,168,4.016,19.98,0.3435
ISTA,184,4.506,19.98,0.3435
ISTA,200,4.797,19.98,0.3435
ISTA,208,5.004,19.98,0.3435
ISTA,234,5.511,19.98,0.3435
ISTA,261,6.001,19.98,0.3435
ISTA,290,6.514,19.98,0.3435
ISTA,300,6.709,19.98,0.3436
FISTA,25,0.512,19.98,0.3436
FISTA,49,1.009,19.98,0.3436
FISTA,75,1.512,19.98,0.3436
FISTA,98,2.006,19.98,0.3436
FISTA,100,2.104,19.98,0.3436
FISTA,121,2.501,19.98,0.3437
FISTA,151,3.007,19.98,0.3436
FISTA,180,3.510,19.98,0.3436
FISTA,200,3.843,19.98,0.3436
FISTA,210,4.018,19.98,0.3436
FISTA,236,4.504,19.98,0.3436
FISTA,267,5.020,19.98,0.3437
FISTA,297,5.509,19.98,0.3436
FISTA,300,5.548,19.98,0.3436

"Threshold Hits (PSNR -> Iter, Time)"
Algorithm,Threshold(dB),Hit_Iteration,Hit_Time_sec
AMDD,20,1,0.428
AMDD,23,3,0.446
AMDD,25,Did Not Hit,N/A
ISTA,20,Did Not Hit,N/A
ISTA,23,Did Not Hit,N/A
ISTA,25,Did Not Hit,N/A
FISTA,20,5,0.085
FISTA,23,Did Not Hit,N/A
FISTA,25,Did Not Hit,N/A

BM3D Quick Profile
Time_sec,Final_PSNR,Final_SSIM
11.766,20.30,0.3911
