Algorithm,Iteration,Time_sec,PSNR,SSIM
AMDD,100,0.407,28.26,0.6969
AMDD,150,0.501,28.26,0.6970
AMDD,200,0.611,28.26,0.6970
AMDD,300,0.844,28.26,0.6970
ISTA,35,0.502,28.40,0.7138
ISTA,93,1.001,28.40,0.7136
ISTA,100,1.074,28.40,0.7138
ISTA,134,1.504,28.40,0.7137
ISTA,179,2.001,28.40,0.7136
ISTA,200,2.204,28.40,0.7137
ISTA,230,2.509,28.40,0.7137
ISTA,286,3.007,28.40,0.7137
ISTA,300,3.126,28.40,0.7136
FISTA,64,0.508,28.40,0.7140
FISTA,100,0.870,28.40,0.7140
FISTA,116,1.014,28.41,0.7141
FISTA,196,1.505,28.40,0.7141
FISTA,200,1.526,28.41,0.7141
FISTA,280,2.008,28.40,0.7140
FISTA,300,2.242,28.40,0.7140

"Threshold Hits (PSNR -> Iter, Time)"
Algorithm,Threshold(dB),Hit_Iteration,Hit_Time_sec
AMDD,20,1,0.183
AMDD,23,1,0.183
AMDD,25,2,0.185
ISTA,20,1,0.192
ISTA,23,1,0.192
ISTA,25,1,0.192
FISTA,20,1,0.030
FISTA,23,1,0.030
FISTA,25,1,0.030

BM3D Quick Profile
Time_sec,Final_PSNR,Final_SSIM
2.979,29.61,0.7931
