Algorithm,Iteration,Time_sec,PSNR,SSIM
AMDD,100,0.440,28.24,0.6959
AMDD,125,0.501,28.24,0.6960
AMDD,200,0.743,28.24,0.6959
AMDD,291,1.000,28.24,0.6960
AMDD,300,1.031,28.24,0.6958
ISTA,16,0.508,28.40,0.7130
ISTA,47,1.020,28.40,0.7131
ISTA,74,1.504,28.40,0.7130
ISTA,100,1.920,28.40,0.7131
ISTA,105,2.000,28.40,0.7130
ISTA,138,2.514,28.40,0.7129
ISTA,169,3.008,28.40,0.7131
ISTA,200,3.453,28.40,0.7130
ISTA,204,3.508,28.40,0.7130
ISTA,234,4.005,28.40,0.7130
ISTA,258,4.515,28.40,0.7130
ISTA,287,5.002,28.40,0.7132
ISTA,300,5.203,28.40,0.7131
FISTA,29,0.518,28.40,0.7133
FISTA,59,1.009,28.40,0.7133
FISTA,83,1.502,28.40,0.7134
FISTA,100,1.780,28.40,0.7134
FISTA,113,2.007,28.40,0.7133
FISTA,134,2.592,28.40,0.7135
FISTA,153,3.004,28.40,0.7132
FISTA,177,3.514,28.40,0.7133
FISTA,200,3.916,28.40,0.7134
FISTA,204,4.001,28.40,0.7134
FISTA,230,4.507,28.40,0.7133
FISTA,258,5.007,28.40,0.7133
FISTA,288,5.518,28.40,0.7133
FISTA,300,5.748,28.40,0.7134

"Threshold Hits (PSNR -> Iter, Time)"
Algorithm,Threshold(dB),Hit_Iteration,Hit_Time_sec
AMDD,20,1,0.187
AMDD,23,1,0.187
AMDD,25,2,0.189
ISTA,20,1,0.199
ISTA,23,1,0.199
ISTA,25,1,0.199
FISTA,20,1,0.015
FISTA,23,1,0.015
FISTA,25,1,0.015

BM3D Quick Profile
Time_sec,Final_PSNR,Final_SSIM
13.884,29.58,0.7918
