Image,SaltPepper_Prob,Gaussian_Sigma,PSNR_Noisy,SSIM_Noisy,PSNR_ISTA_Result,SSIM_ISTA_Result,PSNR_BM3D_Result,SSIM_BM3D_Result
HappyFish.jpg,0.02,0.25,14.104496505594593,0.21688735030091918,14.775971239029706,0.24030834846975815,13.294981428346622,0.24380370284639327
baboon.png,0.02,0.25,12.737824488113919,0.23614527009302322,14.332799037348849,0.2972788670892231,14.168707198768791,0.2698583816255391
barbara.bmp,0.02,0.25,12.883225360007756,0.15868251235977285,14.77154830315474,0.20916604689497703,14.533691149419319,0.19506988865771502
boat.png,0.02,0.25,12.799098491835787,0.13639007026768202,14.64017321409613,0.18987271330791075,14.489515480302668,0.16713325450183103
cameraman.tif,0.02,0.25,13.083014712037915,0.10765118125538355,15.112772497347597,0.15597769395178096,14.858922950150053,0.13304743726994253
fruits.png,0.02,0.25,13.166119308251085,0.09036328658546579,14.606150442244104,0.12448852933617956,14.87155821094101,0.11261707335565727
house.tif,0.02,0.25,13.079777684454527,0.07570091504373119,14.75788348738132,0.11296818179090731,14.827885398409562,0.09886326223650138
jetplane.tif,0.02,0.25,13.332716928236724,0.1227905763551616,14.570701305491587,0.1656071144048929,14.972771079232846,0.14923879927526065
lake.tif,0.02,0.25,13.25776282806965,0.16410476425154089,15.053114654911289,0.22242963844109312,14.826961986724143,0.19611364722841382
lena.bmp,0.02,0.25,12.86982945479756,0.10577537486585915,14.75927686969592,0.15276694919066347,14.602340966757314,0.1336564207808893
lena_color_256.tif,0.02,0.25,12.849372383511525,0.15760073395474947,14.22825868533864,0.212506608545757,14.449282806776974,0.1923935348295888
lena_color_512.tif,0.02,0.25,12.851529209372462,0.10485225781096881,14.246670845091876,0.14871026732695505,14.506967607913772,0.13177285907848332
lena_gray_256.tif,0.02,0.25,12.857810069250382,0.16504695617984422,14.657136970139401,0.22149533620124087,14.481271344643424,0.1997175018774911
lena_gray_512.tif,0.02,0.25,12.860916581256634,0.10251680449674246,14.745437897500963,0.1490007536944583,14.588327840142794,0.13023445261999894
livingroom.tif,0.02,0.25,12.773782344521255,0.1436864586749129,14.666521065805744,0.20035461140115282,14.457201947940636,0.1772244334213946
mandril_color.tif,0.02,0.25,12.762099399106086,0.2420734163886773,14.427744260447541,0.30244169493420525,14.186193643507304,0.27580681405064
mandril_gray.tif,0.02,0.25,12.708064718953349,0.18535993996120756,14.482727167031193,0.2585868064759894,14.256903913315902,0.22213112186786302
peppers.png,0.02,0.25,13.091540058308517,0.10674143081561979,14.908433603812982,0.15215422885823554,14.720819883499068,0.1340589910818275
peppers_color.tif,0.02,0.25,13.34753884714846,0.19592148453714717,15.026610217553698,0.24203544898303744,14.904280170444373,0.22450837251241285
peppers_gray.tif,0.02,0.25,12.963208718809751,0.10165002690719144,14.904940082733644,0.14770910910426335,14.677543103191727,0.12936516962650924
pirate.tif,0.02,0.25,12.905607456625424,0.12498499997737332,14.896254175895987,0.1799443080379028,14.58418842751377,0.15432604756847565
tulips.png,0.02,0.25,13.120430322975924,0.1448819773395843,15.191316300072181,0.21252198649209128,14.791646860471268,0.18176540622402013
walkbridge.tif,0.02,0.25,12.992212575132392,0.20406507756950062,14.83683419777311,0.2750519872017779,14.518470420959051,0.2409239406760937
woman_blonde.tif,0.02,0.25,12.754203274242318,0.10441848289747581,14.488183487934023,0.14705063667085974,14.456871530319365,0.1305869146128145
woman_darkhair.tif,0.02,0.25,13.236690486319478,0.05741772655892908,15.290014334004884,0.09380185517040827,14.973504983560325,0.07841917650380331
HappyFish.jpg,0.02,0.37929,11.109221737124633,0.1543619941831192,11.688110722054333,0.17008618094128708,10.562382318130432,0.16029294342817593
baboon.png,0.02,0.37929,10.261884383968527,0.13908215856789505,11.324061645545495,0.16789336778077624,10.637599180661114,0.14521061525107437
barbara.bmp,0.02,0.37929,10.347457133720058,0.09391074696351819,11.656123565365522,0.11612440310702055,10.769111798907707,0.10044920642349074
boat.png,0.02,0.37929,10.296202907436353,0.0799904060359081,11.40316127382966,0.10234060003584781,10.717142672773054,0.08527414078819898
cameraman.tif,0.02,0.37929,10.438227745268101,0.06622334063876602,11.673099552602507,0.08609659315455194,10.898237224641905,0.07125225679905674
fruits.png,0.02,0.37929,10.54816236794464,0.053855280986072195,11.365199194259946,0.06731201112171907,11.01740035310243,0.057575775694042604
house.tif,0.02,0.37929,10.459709589651268,0.044301152517344,11.599567500368433,0.05962548431199116,10.92663607980853,0.048519353757081406
jetplane.tif,0.02,0.37929,10.648409592039105,0.07432951714521599,11.34418330772527,0.09361261523458084,11.129085438365458,0.07982645640711668
lake.tif,0.02,0.37929,10.607531049505766,0.09905175342784654,11.875668774934088,0.12787173076401742,11.067249761777056,0.10592403931141135
lena.bmp,0.02,0.37929,10.30637572031085,0.06058609085426084,11.519096227396737,0.080084172210076,10.730585525683903,0.0654081375056149
lena_color_256.tif,0.02,0.37929,10.336882741319329,0.09407748495378779,11.409798328400901,0.1198566560545323,10.75811655259262,0.10101800215398553
lena_color_512.tif,0.02,0.37929,10.343838729120918,0.060725018314246135,11.414455062964983,0.07945392046583596,10.777091406670996,0.0656048819363572
lena_gray_256.tif,0.02,0.37929,10.323247708560345,0.09795557056172498,11.516751424330584,0.12447854326815495,10.745742001293642,0.10475927556125696
lena_gray_512.tif,0.02,0.37929,10.327220220905588,0.05915637205026841,11.543515742982276,0.078576232889588,10.752582739200298,0.06356241013786354
livingroom.tif,0.02,0.37929,10.265627076069872,0.08181048241748512,11.473307046953323,0.1054310809625141,10.682807151819322,0.08755251272215502
mandril_color.tif,0.02,0.37929,10.26484527287975,0.14245051540632844,11.395374935418005,0.17157574656158175,10.637016941245099,0.14839186385377515
mandril_gray.tif,0.02,0.37929,10.218297251995079,0.10620064054784875,11.329071827227445,0.13697968491550713,10.60914224897122,0.11222325371279783
peppers.png,0.02,0.37929,10.550542097185769,0.06262639010623851,11.78767606749753,0.08174520066043998,11.000531363342514,0.06798491326470711
peppers_color.tif,0.02,0.37929,10.642870921156156,0.12478437249805897,11.830166297854248,0.14882998007722056,11.097809546488884,0.1318514025108279
peppers_gray.tif,0.02,0.37929,10.413084978265433,0.058590801913479554,11.703224351597715,0.07755835057833153,10.863727728727138,0.06352960791854302
pirate.tif,0.02,0.37929,10.376153962844787,0.07255181245842976,11.727164931142589,0.09535761771280876,10.807940388006262,0.07768232669759259
tulips.png,0.02,0.37929,10.501626889673798,0.08460861607345671,11.963107091778236,0.1130766054235393,10.950661678520826,0.09133648635707402
walkbridge.tif,0.02,0.37929,10.410463737260322,0.11692654816588485,11.742258790004252,0.14922346677116058,10.825625471904383,0.1239083655591784
woman_blonde.tif,0.02,0.37929,10.261729965406403,0.06184753880692405,11.315570791371417,0.07876957198821394,10.682514575788174,0.06621192531746241
woman_darkhair.tif,0.02,0.37929,10.587215642671035,0.03148345284573892,12.09853270217643,0.04474587801323666,11.06665319604925,0.03469267704574995
HappyFish.jpg,0.02,0.42,10.36142226284481,0.13604691797370339,10.874605832012536,0.1501177950848355,9.850235672286017,0.14001207535126786
baboon.png,0.02,0.42,9.771826229756723,0.12253871634216447,10.67876197154968,0.14567468566677755,10.031013838897419,0.12640048681880786
barbara.bmp,0.02,0.42,9.825559615576703,0.08102305109930284,10.978256346647202,0.09825920463053738,10.118121231982077,0.0850683508274963
boat.png,0.02,0.42,9.792790116638173,0.07201367242711733,10.730351488308925,0.09022020540232507,10.076982889285057,0.07547310174379022
cameraman.tif,0.02,0.42,9.916166738974567,0.05861455866399086,10.978755680228797,0.07468870334235753,10.234246487135469,0.06182272626320244
fruits.png,0.02,0.42,10.004284185967105,0.047854899797944314,10.671330230351614,0.05845290152798976,10.32929246642678,0.050321177882058345
house.tif,0.02,0.42,9.943495771925306,0.03824817463760024,10.926011673576717,0.050052977340804286,10.270514615551674,0.04108074646296661
jetplane.tif,0.02,0.42,10.088034644939475,0.06595911752673639,10.64958433865209,0.08135789112000352,10.426031147664167,0.06944596235290118
lake.tif,0.02,0.42,10.05361452641252,0.08628000368437597,11.165525076953424,0.1093444651813251,10.38048159134239,0.09072100616303763
lena.bmp,0.02,0.42,9.809261381461974,0.052786177635462395,10.860363574197336,0.06821828388996426,10.106202536745382,0.05585837942721974
lena_color_256.tif,0.02,0.42,9.84201761623006,0.0823078839539933,10.790899524218478,0.10309170757258648,10.140629549824,0.08689864421984113
lena_color_512.tif,0.02,0.42,9.85560522123884,0.05241373668483744,10.800087626093308,0.06689137260556989,10.155280937186134,0.05548868250459533
lena_gray_256.tif,0.02,0.42,9.795040759795564,0.08474036411812623,10.812967649811496,0.10509328908792362,10.071748294714098,0.0889585921452058
lena_gray_512.tif,0.02,0.42,9.813709570187113,0.052426227320978826,10.864308937531167,0.06742707438920618,10.10968276749278,0.05535524438177054
livingroom.tif,0.02,0.42,9.770958806641433,0.07235558307906863,10.811027306676612,0.09086156402805735,10.0518853417077,0.07591023402216507
mandril_color.tif,0.02,0.42,9.77339061676376,0.12500330541290525,10.755984998034826,0.1488530622586901,10.029547856273169,0.12882312854074973
mandril_gray.tif,0.02,0.42,9.746385645610538,0.0930101824361733,10.709444383155875,0.11700365597421276,10.02111804043893,0.09672410375363057
peppers.png,0.02,0.42,10.044181415700786,0.0554179762845375,11.130108300988933,0.07079023050374662,10.356330114745491,0.05885706612503355
peppers_color.tif,0.02,0.42,10.056387808381604,0.1106306199204228,11.106099566838699,0.13038410678397852,10.37631961698966,0.11514449889876223
peppers_gray.tif,0.02,0.42,9.879207578483305,0.050996323020291626,11.006363870422991,0.06537364722847912,10.189086833337003,0.054158628059893826
pirate.tif,0.02,0.42,9.832074626791561,0.06242068081455163,11.022908145724191,0.07993941515694811,10.125277677365474,0.06551018461380387
tulips.png,0.02,0.42,9.938798171083107,0.07413251284255623,11.229218854848547,0.09633919053833301,10.254821670900288,0.07842525792408966
walkbridge.tif,0.02,0.42,9.895749513614033,0.10429850613605395,11.074935315844199,0.13012677762395441,10.187242529674537,0.10887383148504684
woman_blonde.tif,0.02,0.42,9.761866225771147,0.05380028088779255,10.650857210474163,0.06698603143355199,10.050133515604271,0.05661318325822377
woman_darkhair.tif,0.02,0.42,10.025198210059777,0.02733325646012704,11.36571604030578,0.0375177695228238,10.362955015291123,0.02935026571077837
HappyFish.jpg,0.037,0.25,14.089125372301755,0.21689402577179914,14.797340952504952,0.24024704122297633,13.270345058720167,0.24324439290972122
baboon.png,0.037,0.25,12.746012186801272,0.23578280825876474,14.355322507016375,0.2969438421407693,14.17740154180744,0.2691008173878663
barbara.bmp,0.037,0.25,12.891305155468809,0.15990965588767625,14.771713958744009,0.209546339485285,14.543956393009118,0.19658434127734004
boat.png,0.037,0.25,12.803943196493046,0.13479254716068045,14.656910664712434,0.1881913161962436,14.49822162054829,0.16510383710177345
cameraman.tif,0.037,0.25,13.082943321104622,0.10710724134650597,15.104835238384403,0.1555004544965027,14.848961690160536,0.13254780213715062
fruits.png,0.037,0.25,13.157654075156968,0.08953001706998184,14.602295656035377,0.12361032566524445,14.863458574078498,0.11175111699168568
house.tif,0.037,0.25,13.079878781868842,0.07578653571746376,14.773143691703263,0.11325459419296323,14.86226528174726,0.09954806465352785
