Algorithm,Iteration,Time_sec,PSNR,SSIM
AMDD,1,1.262,21.09,0.2824
AMDD,10,1.521,24.12,0.4684
AMDD,35,2.018,22.37,0.3886
AMDD,61,2.510,21.79,0.3723
AMDD,90,3.002,21.63,0.3676
AMDD,100,3.165,21.61,0.3671
AMDD,125,3.502,21.60,0.3674
AMDD,170,4.010,21.59,0.3665
AMDD,200,4.416,21.59,0.3665
AMDD,203,4.506,21.59,0.3672
AMDD,246,5.004,21.59,0.3665
AMDD,300,5.512,21.59,0.3664
AMDD,338,6.003,21.59,0.3665
AMDD,363,6.511,21.59,0.3672
AMDD,400,6.881,21.59,0.3664
AMDD,410,7.008,21.59,0.3664
AMDD,442,7.503,21.59,0.3664
AMDD,464,8.031,21.59,0.3665
AMDD,492,8.516,21.59,0.3664
AMDD,500,8.614,21.59,0.3665
ISTA,1,5.171,19.28,0.3165
ISTA,2,10.864,20.53,0.3636
ISTA,3,16.008,21.11,0.3780
ISTA,4,21.048,21.39,0.3844
ISTA,5,24.158,21.53,0.3875
ISTA,6,28.109,21.60,0.3892
ISTA,7,31.609,21.63,0.3901
ISTA,8,35.395,21.65,0.3905
ISTA,9,38.346,21.66,0.3908
ISTA,10,41.512,21.66,0.3909
ISTA,11,44.205,21.67,0.3909
ISTA,12,46.641,21.67,0.3910
ISTA,13,49.713,21.67,0.3909
ISTA,14,52.020,21.67,0.3909
ISTA,15,54.551,21.67,0.3909
ISTA,16,56.656,21.67,0.3909
ISTA,17,60.273,21.67,0.3909
ISTA,18,62.506,21.67,0.3909
ISTA,19,65.358,21.67,0.3910
ISTA,20,67.555,21.67,0.3909
ISTA,21,69.830,21.67,0.3910
ISTA,22,71.949,21.67,0.3909
ISTA,23,74.475,21.67,0.3910
ISTA,24,77.910,21.67,0.3909
ISTA,25,80.978,21.67,0.3909
ISTA,26,83.944,21.67,0.3909
ISTA,27,86.707,21.67,0.3909
ISTA,28,87.638,21.67,0.3909
ISTA,29,88.730,21.67,0.3909
ISTA,30,90.041,21.67,0.3910
ISTA,31,90.921,21.67,0.3909
ISTA,32,91.888,21.67,0.3909
ISTA,33,92.777,21.67,0.3909
ISTA,34,93.611,21.67,0.3910
ISTA,35,94.391,21.67,0.3908
ISTA,36,95.247,21.67,0.3910
ISTA,37,96.082,21.67,0.3909
ISTA,38,96.963,21.67,0.3910
ISTA,39,97.953,21.67,0.3909
ISTA,40,98.723,21.67,0.3909
ISTA,41,99.483,21.67,0.3909
ISTA,42,100.300,21.67,0.3910
ISTA,43,101.170,21.67,0.3909
ISTA,44,101.953,21.67,0.3908
ISTA,45,102.757,21.67,0.3910
ISTA,46,103.596,21.67,0.3908
ISTA,47,104.402,21.67,0.3910
ISTA,48,105.285,21.67,0.3909
ISTA,49,106.278,21.67,0.3909
ISTA,50,107.716,21.67,0.3908
ISTA,51,108.713,21.67,0.3909
ISTA,52,109.699,21.67,0.3909
ISTA,53,111.067,21.67,0.3909
ISTA,54,111.973,21.67,0.3909
ISTA,55,112.992,21.67,0.3909
ISTA,56,113.954,21.67,0.3909
ISTA,57,114.860,21.67,0.3909
ISTA,58,115.870,21.67,0.3910
ISTA,59,116.846,21.67,0.3909
ISTA,60,117.898,21.67,0.3909
ISTA,61,118.900,21.67,0.3910
ISTA,62,119.817,21.67,0.3910
ISTA,63,120.930,21.67,0.3909
ISTA,64,121.881,21.67,0.3910
ISTA,65,122.957,21.67,0.3909
ISTA,66,123.929,21.67,0.3909
ISTA,67,125.041,21.67,0.3910
ISTA,68,125.952,21.67,0.3908
ISTA,69,127.398,21.67,0.3909
ISTA,70,128.258,21.67,0.3909
ISTA,71,129.070,21.67,0.3910
ISTA,72,129.892,21.67,0.3910
ISTA,73,130.705,21.67,0.3909
ISTA,74,131.528,21.67,0.3909
ISTA,75,132.349,21.67,0.3909
ISTA,76,133.360,21.67,0.3909
ISTA,77,134.411,21.67,0.3910
ISTA,78,136.003,21.67,0.3909
ISTA,79,136.932,21.67,0.3910
ISTA,80,137.977,21.67,0.3910
ISTA,81,138.852,21.67,0.3910
ISTA,82,139.768,21.67,0.3909
ISTA,83,140.645,21.67,0.3909
ISTA,84,141.419,21.67,0.3909
ISTA,85,142.243,21.67,0.3909
ISTA,86,143.179,21.67,0.3910
ISTA,87,144.006,21.67,0.3910
ISTA,88,144.835,21.67,0.3910
ISTA,89,145.719,21.67,0.3908
ISTA,90,146.713,21.67,0.3908
ISTA,91,147.740,21.67,0.3909
ISTA,92,148.564,21.67,0.3909
ISTA,93,149.469,21.67,0.3909
ISTA,94,150.429,21.67,0.3909
ISTA,95,151.727,21.67,0.3910
ISTA,96,152.943,21.67,0.3909
ISTA,97,154.001,21.67,0.3910
ISTA,98,155.125,21.67,0.3908
ISTA,99,156.148,21.67,0.3910
ISTA,100,157.138,21.67,0.3909
ISTA,101,158.107,21.67,0.3909
ISTA,102,159.044,21.67,0.3909
ISTA,103,159.978,21.67,0.3909
ISTA,104,161.085,21.67,0.3909
ISTA,105,162.023,21.67,0.3910
ISTA,106,162.919,21.67,0.3910
ISTA,107,163.801,21.67,0.3910
ISTA,108,164.698,21.67,0.3908
ISTA,109,165.617,21.67,0.3911
ISTA,110,166.530,21.67,0.3909
ISTA,111,167.379,21.67,0.3909
ISTA,112,168.237,21.67,0.3909
ISTA,113,169.094,21.67,0.3910
ISTA,114,169.982,21.67,0.3910
ISTA,115,170.855,21.67,0.3909
ISTA,116,171.729,21.67,0.3909
ISTA,117,172.586,21.67,0.3909
ISTA,118,173.449,21.67,0.3909
ISTA,119,174.351,21.67,0.3909
ISTA,120,175.262,21.67,0.3909
ISTA,121,176.075,21.67,0.3910
ISTA,122,177.061,21.67,0.3909
ISTA,123,177.920,21.67,0.3910
ISTA,124,178.839,21.67,0.3908
ISTA,125,179.730,21.67,0.3910
ISTA,126,180.570,21.67,0.3908
ISTA,127,181.396,21.67,0.3910
ISTA,128,182.173,21.67,0.3909
ISTA,129,183.005,21.67,0.3910
ISTA,130,183.816,21.67,0.3909
ISTA,131,184.647,21.67,0.3909
ISTA,132,185.475,21.67,0.3910
ISTA,133,186.334,21.67,0.3909
ISTA,134,187.151,21.67,0.3909
ISTA,135,187.937,21.67,0.3910
ISTA,136,188.738,21.67,0.3910
ISTA,137,189.598,21.67,0.3910
ISTA,138,190.480,21.67,0.3909
ISTA,139,191.339,21.67,0.3909
ISTA,140,192.172,21.67,0.3909
ISTA,141,192.970,21.67,0.3909
ISTA,142,193.831,21.67,0.3910
ISTA,143,194.662,21.67,0.3909
ISTA,144,195.573,21.67,0.3910
ISTA,145,196.458,21.67,0.3910
ISTA,146,197.291,21.67,0.3910
ISTA,147,198.111,21.67,0.3909
ISTA,148,198.965,21.67,0.3909
ISTA,149,199.771,21.67,0.3910
ISTA,150,200.568,21.67,0.3909
ISTA,151,201.461,21.67,0.3909
ISTA,152,202.271,21.67,0.3909
ISTA,153,203.088,21.67,0.3909
ISTA,154,203.990,21.67,0.3909
ISTA,155,204.805,21.67,0.3909
ISTA,156,205.629,21.67,0.3909
ISTA,157,206.467,21.67,0.3909
ISTA,158,207.297,21.67,0.3909
ISTA,159,208.120,21.67,0.3909
ISTA,160,208.980,21.67,0.3909
ISTA,161,209.780,21.67,0.3909
ISTA,162,210.576,21.67,0.3908
ISTA,163,211.619,21.67,0.3909
ISTA,164,212.472,21.67,0.3909
ISTA,165,213.568,21.67,0.3909
ISTA,166,214.970,21.67,0.3909
ISTA,167,216.313,21.67,0.3910
ISTA,168,217.704,21.67,0.3909
ISTA,169,219.019,21.67,0.3909
ISTA,170,220.359,21.67,0.3909
ISTA,171,221.761,21.67,0.3908
ISTA,172,223.103,21.67,0.3909
ISTA,173,224.526,21.67,0.3908
ISTA,174,225.726,21.67,0.3909
ISTA,175,227.139,21.67,0.3909
ISTA,176,228.599,21.67,0.3910
ISTA,177,229.863,21.67,0.3910
ISTA,178,230.613,21.67,0.3910
