Algorithm,Iteration,Time_sec,PSNR,SSIM
ISTA,179,231.394,21.67,0.3909
ISTA,180,232.231,21.67,0.3909
ISTA,181,232.987,21.67,0.3909
ISTA,182,233.835,21.67,0.3909
ISTA,183,234.667,21.67,0.3909
ISTA,184,235.454,21.67,0.3909
ISTA,185,236.205,21.67,0.3909
ISTA,186,237.009,21.67,0.3910
ISTA,187,237.769,21.67,0.3909
ISTA,188,238.568,21.67,0.3910
ISTA,189,239.356,21.67,0.3909
ISTA,190,240.151,21.67,0.3909
ISTA,191,240.971,21.67,0.3909
ISTA,192,241.792,21.67,0.3909
ISTA,193,242.604,21.67,0.3909
ISTA,194,243.390,21.67,0.3910
ISTA,195,244.225,21.67,0.3909
ISTA,196,245.046,21.67,0.3909
ISTA,197,245.897,21.67,0.3910
ISTA,198,246.749,21.67,0.3908
ISTA,199,247.549,21.67,0.3909
ISTA,200,248.300,21.67,0.3909
ISTA,201,249.081,21.67,0.3909
ISTA,202,249.901,21.67,0.3909
ISTA,203,250.751,21.67,0.3909
ISTA,204,251.586,21.67,0.3909
ISTA,205,252.537,21.67,0.3910
ISTA,206,253.417,21.67,0.3908
ISTA,207,254.213,21.67,0.3909
ISTA,208,255.034,21.67,0.3909
ISTA,209,255.764,21.67,0.3908
ISTA,210,256.580,21.67,0.3909
ISTA,211,257.360,21.67,0.3909
ISTA,212,258.185,21.67,0.3909
ISTA,213,259.016,21.67,0.3910
ISTA,214,259.804,21.67,0.3910
ISTA,215,260.587,21.67,0.3909
ISTA,216,261.364,21.67,0.3909
ISTA,217,262.177,21.67,0.3909
ISTA,218,262.972,21.67,0.3909
ISTA,219,263.785,21.67,0.3909
ISTA,220,264.541,21.67,0.3909
ISTA,221,265.296,21.67,0.3909
ISTA,222,266.063,21.67,0.3910
ISTA,223,266.876,21.67,0.3910
ISTA,224,267.714,21.67,0.3910
ISTA,225,268.520,21.67,0.3909
ISTA,226,269.309,21.67,0.3909
ISTA,227,270.093,21.67,0.3910
ISTA,228,270.909,21.67,0.3909
ISTA,229,271.857,21.67,0.3909
ISTA,230,272.638,21.67,0.3908
ISTA,231,273.440,21.67,0.3909
ISTA,232,274.244,21.67,0.3908
ISTA,233,275.112,21.67,0.3909
ISTA,234,275.991,21.67,0.3909
ISTA,235,277.009,21.67,0.3909
ISTA,236,277.931,21.67,0.3908
ISTA,237,278.857,21.67,0.3909
ISTA,238,279.727,21.67,0.3908
ISTA,239,280.831,21.67,0.3909
ISTA,240,282.298,21.67,0.3908
ISTA,241,283.899,21.67,0.3909
ISTA,242,285.516,21.67,0.3908
ISTA,243,286.388,21.67,0.3910
ISTA,244,287.424,21.67,0.3909
ISTA,245,288.327,21.67,0.3910
ISTA,246,289.325,21.67,0.3910
ISTA,247,290.229,21.67,0.3909
ISTA,248,291.108,21.67,0.3908
ISTA,249,291.934,21.67,0.3910
ISTA,250,292.750,21.67,0.3909
ISTA,251,293.757,21.67,0.3909
ISTA,252,294.702,21.67,0.3909
ISTA,253,295.662,21.67,0.3910
ISTA,254,296.690,21.67,0.3910
ISTA,255,297.618,21.67,0.3909
ISTA,256,298.426,21.67,0.3910
ISTA,257,299.273,21.67,0.3910
ISTA,258,300.049,21.67,0.3908
ISTA,259,301.047,21.67,0.3910
ISTA,260,301.908,21.67,0.3909
ISTA,261,302.681,21.67,0.3910
ISTA,262,303.456,21.67,0.3909
ISTA,263,304.253,21.67,0.3910
ISTA,264,305.024,21.67,0.3909
ISTA,265,305.883,21.67,0.3908
ISTA,266,306.661,21.67,0.3910
ISTA,267,307.429,21.67,0.3910
ISTA,268,308.230,21.67,0.3908
ISTA,269,309.069,21.67,0.3909
ISTA,270,309.865,21.67,0.3909
ISTA,271,312.101,21.67,0.3910
ISTA,272,312.743,21.67,0.3910
ISTA,273,313.324,21.67,0.3909
ISTA,274,313.871,21.67,0.3909
ISTA,275,314.437,21.67,0.3910
ISTA,276,315.008,21.67,0.3909
ISTA,277,315.532,21.67,0.3910
ISTA,278,316.051,21.67,0.3910
ISTA,279,316.535,21.67,0.3909
ISTA,280,317.030,21.67,0.3910
ISTA,281,317.546,21.67,0.3910
ISTA,282,318.047,21.67,0.3910
ISTA,283,318.594,21.67,0.3909
ISTA,284,319.179,21.67,0.3909
ISTA,285,319.782,21.67,0.3910
ISTA,286,320.345,21.67,0.3909
ISTA,287,320.878,21.67,0.3909
ISTA,288,321.443,21.67,0.3909
ISTA,289,322.045,21.67,0.3909
ISTA,290,322.551,21.67,0.3909
ISTA,291,323.029,21.67,0.3910
ISTA,292,323.505,21.67,0.3908
ISTA,294,324.471,21.67,0.3908
ISTA,295,324.995,21.67,0.3910
ISTA,296,325.533,21.67,0.3909
ISTA,297,326.032,21.67,0.3909
ISTA,298,326.568,21.67,0.3909
ISTA,299,327.242,21.67,0.3909
ISTA,300,327.801,21.67,0.3909
ISTA,301,328.291,21.67,0.3910
ISTA,302,328.781,21.67,0.3909
ISTA,303,329.477,21.67,0.3909
ISTA,304,329.970,21.67,0.3910
ISTA,305,330.503,21.67,0.3909
ISTA,306,331.058,21.67,0.3909
ISTA,307,331.589,21.67,0.3909
ISTA,308,332.116,21.67,0.3909
ISTA,309,332.618,21.67,0.3910
ISTA,310,333.143,21.67,0.3909
ISTA,311,333.716,21.67,0.3909
ISTA,312,334.244,21.67,0.3909
ISTA,313,334.792,21.67,0.3909
ISTA,314,335.326,21.67,0.3910
ISTA,315,335.872,21.67,0.3910
ISTA,316,336.436,21.67,0.3909
ISTA,317,337.017,21.67,0.3909
ISTA,318,337.549,21.67,0.3909
ISTA,319,338.025,21.67,0.3909
ISTA,320,338.565,21.67,0.3909
ISTA,321,339.210,21.67,0.3909
ISTA,322,339.923,21.67,0.3909
ISTA,323,340.508,21.67,0.3909
ISTA,324,341.176,21.67,0.3910
ISTA,325,341.806,21.67,0.3909
ISTA,326,342.393,21.67,0.3909
ISTA,327,343.430,21.67,0.3910
ISTA,328,344.582,21.67,0.3910
ISTA,329,345.260,21.67,0.3910
ISTA,330,345.904,21.67,0.3909
ISTA,331,346.554,21.67,0.3909
ISTA,332,347.199,21.67,0.3910
ISTA,333,347.934,21.67,0.3910
ISTA,334,348.693,21.67,0.3910
ISTA,335,349.469,21.67,0.3909
ISTA,336,350.150,21.67,0.3908
ISTA,337,350.848,21.67,0.3910
ISTA,338,352.105,21.67,0.3908
ISTA,339,353.338,21.67,0.3909
ISTA,340,354.517,21.67,0.3909
ISTA,341,355.553,21.67,0.3910
ISTA,342,356.247,21.67,0.3909
ISTA,343,356.880,21.67,0.3909
ISTA,344,357.613,21.67,0.3908
ISTA,345,358.238,21.67,0.3910
ISTA,346,358.814,21.67,0.3909
ISTA,347,359.642,21.67,0.3908
ISTA,348,360.382,21.67,0.3909
ISTA,349,361.188,21.67,0.3908
ISTA,350,361.762,21.67,0.3910
ISTA,351,362.357,21.67,0.3909
ISTA,352,362.950,21.67,0.3909
ISTA,353,363.515,21.67,0.3910
ISTA,354,364.099,21.67,0.3909
ISTA,355,364.625,21.67,0.3909
ISTA,356,365.132,21.67,0.3909
ISTA,357,365.700,21.67,0.3909
ISTA,358,366.258,21.67,0.3910
ISTA,359,366.823,21.67,0.3909
ISTA,360,367.371,21.67,0.3909
ISTA,361,367.911,21.67,0.3910
ISTA,362,368.467,21.67,0.3910
ISTA,363,368.991,21.67,0.3909
ISTA,364,369.518,21.67,0.3908
ISTA,366,370.480,21.67,0.3909
ISTA,367,370.976,21.67,0.3909
ISTA,368,373.045,21.67,0.3910
ISTA,369,377.079,21.67,0.3909
ISTA,370,379.474,21.67,0.3910
ISTA,371,382.523,21.67,0.3909
ISTA,372,384.879,21.67,0.3910
ISTA,373,387.233,21.67,0.3909
ISTA,374,389.201,21.67,0.3908
ISTA,375,391.209,21.67,0.3909
ISTA,376,393.410,21.67,0.3910
ISTA,377,395.494,21.67,0.3910
ISTA,378,397.682,21.67,0.3909
ISTA,379,400.815,21.67,0.3909
ISTA,380,402.523,21.67,0.3909
ISTA,381,405.136,21.67,0.3910
ISTA,382,407.491,21.67,0.3909
ISTA,383,409.033,21.67,0.3909
ISTA,384,409.801,21.67,0.3910
ISTA,385,412.125,21.67,0.3910
ISTA,386,414.524,21.67,0.3909
ISTA,387,417.008,21.67,0.3909
ISTA,388,419.738,21.67,0.3909
ISTA,389,422.201,21.67,0.3909
ISTA,390,424.381,21.67,0.3909
ISTA,391,426.482,21.67,0.3910
ISTA,392,429.157,21.67,0.3909
ISTA,393,431.781,21.67,0.3909
ISTA,394,434.199,21.67,0.3908
ISTA,395,436.451,21.67,0.3910
ISTA,396,438.916,21.67,0.3909
ISTA,397,441.647,21.67,0.3910
ISTA,398,444.234,21.67,0.3910
ISTA,399,446.692,21.67,0.3909
ISTA,400,449.051,21.67,0.3909
ISTA,401,451.519,21.67,0.3909
ISTA,402,454.143,21.67,0.3909
ISTA,403,458.084,21.67,0.3909
ISTA,404,463.159,21.67,0.3909
ISTA,405,467.637,21.67,0.3910
ISTA,406,471.763,21.67,0.3910
ISTA,407,476.497,21.67,0.3908
ISTA,408,479.839,21.67,0.3909
ISTA,409,482.325,21.67,0.3909
ISTA,410,484.844,21.67,0.3909
ISTA,411,488.036,21.67,0.3909
ISTA,412,490.810,21.67,0.3910
ISTA,413,493.646,21.67,0.3909
ISTA,414,497.240,21.67,0.3909
ISTA,415,499.524,21.67,0.3910
ISTA,416,500.933,21.67,0.3909
ISTA,417,502.060,21.67,0.3910
ISTA,418,503.204,21.67,0.3909
ISTA,419,504.060,21.67,0.3909
ISTA,420,504.892,21.67,0.3909
ISTA,421,505.757,21.67,0.3910
ISTA,422,506.582,21.67,0.3909
ISTA,423,507.365,21.67,0.3910
ISTA,424,508.198,21.67,0.3909
ISTA,425,508.936,21.67,0.3909
ISTA,426,509.743,21.67,0.3909
ISTA,427,510.612,21.67,0.3909
ISTA,428,511.440,21.67,0.3909
ISTA,429,512.226,21.67,0.3910
ISTA,430,513.194,21.67,0.3910
ISTA,431,514.087,21.67,0.3910
ISTA,432,514.874,21.67,0.3909
ISTA,433,515.733,21.67,0.3909
ISTA,434,516.464,21.67,0.3909
ISTA,435,517.258,21.67,0.3909
ISTA,436,518.168,21.67,0.3909
ISTA,437,519.003,21.67,0.3910
ISTA,438,519.821,21.67,0.3909
ISTA,439,520.616,21.67,0.3909
ISTA,440,521.438,21.67,0.3908
ISTA,441,522.207,21.67,0.3909
ISTA,442,523.052,21.67,0.3909
ISTA,443,523.864,21.67,0.3909
ISTA,444,524.647,21.67,0.3909
ISTA,445,525.490,21.67,0.3910
ISTA,446,526.268,21.67,0.3909
ISTA,447,527.045,21.67,0.3910
ISTA,448,527.859,21.67,0.3910
ISTA,449,528.609,21.67,0.3909
ISTA,450,529.408,21.67,0.3910
ISTA,451,530.191,21.67,0.3909
ISTA,452,531.020,21.67,0.3910
ISTA,453,531.839,21.67,0.3909
ISTA,454,532.613,21.67,0.3910
ISTA,455,533.408,21.67,0.3910
ISTA,456,534.199,21.67,0.3909
ISTA,457,534.941,21.67,0.3910
ISTA,458,535.907,21.67,0.3909
ISTA,459,536.695,21.67,0.3910
ISTA,460,537.509,21.67,0.3909
ISTA,461,538.308,21.67,0.3910
ISTA,462,539.082,21.67,0.3909
ISTA,463,539.894,21.67,0.3909
ISTA,464,540.703,21.67,0.3909
ISTA,465,541.487,21.67,0.3910
ISTA,466,542.289,21.67,0.3909
ISTA,467,543.116,21.67,0.3910
ISTA,468,543.945,21.67,0.3907
ISTA,469,544.798,21.67,0.3909
ISTA,470,545.588,21.67,0.3909
ISTA,471,546.376,21.67,0.3910
ISTA,472,547.132,21.67,0.3908
ISTA,473,548.017,21.67,0.3909
ISTA,474,548.858,21.67,0.3910
ISTA,475,549.658,21.67,0.3911
ISTA,476,550.507,21.67,0.3910
ISTA,477,551.275,21.67,0.3910
ISTA,478,552.083,21.67,0.3909
ISTA,479,552.907,21.67,0.3911
ISTA,480,553.689,21.67,0.3910
ISTA,481,554.522,21.67,0.3910
ISTA,482,555.357,21.67,0.3909
ISTA,483,556.175,21.67,0.3909
ISTA,484,556.962,21.67,0.3909
ISTA,485,557.739,21.67,0.3910
ISTA,486,558.569,21.67,0.3910
ISTA,487,559.372,21.67,0.3910
ISTA,488,560.182,21.67,0.3910
ISTA,489,560.934,21.67,0.3910
ISTA,490,561.760,21.67,0.3909
ISTA,491,562.594,21.67,0.3909
ISTA,492,563.364,21.67,0.3908
ISTA,493,564.134,21.67,0.3909
ISTA,494,564.928,21.67,0.3909
ISTA,495,565.728,21.67,0.3911
ISTA,496,566.501,21.67,0.3909
ISTA,497,567.314,21.67,0.3910
ISTA,498,568.102,21.67,0.3910
ISTA,499,568.888,21.67,0.3910
ISTA,500,569.732,21.67,0.3909
FISTA,1,0.935,19.28,0.3165
FISTA,2,1.694,20.53,0.3636
FISTA,3,2.522,21.27,0.3815
FISTA,4,3.356,21.63,0.3898
FISTA,5,4.144,21.74,0.3927
FISTA,6,4.964,21.74,0.3928
FISTA,7,5.807,21.70,0.3919
FISTA,8,6.677,21.67,0.3912
FISTA,9,7.785,21.66,0.3908
FISTA,10,9.121,21.66,0.3908
FISTA,11,10.328,21.66,0.3910
FISTA,12,11.247,21.67,0.3910
FISTA,13,12.213,21.67,0.3911
FISTA,14,13.213,21.67,0.3911
FISTA,15,14.255,21.67,0.3911
FISTA,16,15.288,21.67,0.3910
FISTA,17,16.241,21.67,0.3912
FISTA,18,17.049,21.67,0.3910
FISTA,19,17.836,21.67,0.3910
FISTA,20,18.613,21.67,0.3910
FISTA,21,19.599,21.67,0.3911
FISTA,22,20.518,21.67,0.3912
FISTA,23,21.608,21.67,0.3911
FISTA,24,22.480,21.67,0.3911
FISTA,25,23.567,21.67,0.3911
FISTA,26,28.287,21.67,0.3911
FISTA,27,41.649,21.67,0.3911
FISTA,28,57.076,21.67,0.3912
FISTA,29,67.670,21.67,0.3911
FISTA,30,79.272,21.67,0.3911
FISTA,31,88.577,21.67,0.3912
FISTA,32,95.129,21.67,0.3909
FISTA,33,99.740,21.67,0.3911
FISTA,34,105.137,21.67,0.3910
FISTA,35,118.238,21.67,0.3911
FISTA,36,130.946,21.67,0.3911
FISTA,37,142.442,21.67,0.3911
FISTA,38,149.917,21.67,0.3910
FISTA,39,155.883,21.67,0.3911
FISTA,40,161.021,21.67,0.3911
FISTA,41,162.297,21.67,0.3911
FISTA,42,163.632,21.67,0.3911
FISTA,43,165.036,21.67,0.3911
FISTA,44,166.597,21.67,0.3911
FISTA,45,168.094,21.67,0.3910
FISTA,46,169.523,21.67,0.3912
FISTA,47,170.996,21.67,0.3910
FISTA,48,172.448,21.67,0.3910
FISTA,49,173.916,21.67,0.3912
FISTA,50,175.299,21.67,0.3911
FISTA,51,176.852,21.67,0.3911
FISTA,52,178.352,21.67,0.3910
FISTA,53,179.828,21.67,0.3911
FISTA,54,181.246,21.67,0.3911
FISTA,55,182.644,21.67,0.3911
FISTA,56,184.110,21.67,0.3911
FISTA,57,185.634,21.67,0.3910
FISTA,58,186.999,21.67,0.3910
FISTA,59,188.377,21.67,0.3911
FISTA,60,189.985,21.67,0.3911
FISTA,61,191.393,21.67,0.3911
FISTA,62,192.819,21.67,0.3911
FISTA,63,194.359,21.67,0.3910
FISTA,64,195.843,21.67,0.3911
FISTA,65,197.287,21.67,0.3912
FISTA,66,198.801,21.67,0.3911
FISTA,67,200.221,21.67,0.3910
FISTA,68,201.668,21.67,0.3910
FISTA,69,203.076,21.67,0.3910
FISTA,70,204.506,21.67,0.3911
FISTA,71,205.789,21.67,0.3910
FISTA,72,207.100,21.67,0.3910
FISTA,73,208.234,21.67,0.3911
FISTA,74,209.872,21.67,0.3910
FISTA,75,211.362,21.67,0.3912
FISTA,76,212.782,21.67,0.3911
FISTA,77,214.164,21.67,0.3910
FISTA,78,215.616,21.67,0.3909
FISTA,79,217.029,21.67,0.3912
FISTA,80,218.283,21.67,0.3911
FISTA,81,219.666,21.67,0.3911
FISTA,82,221.003,21.67,0.3911
FISTA,83,222.466,21.67,0.3910
FISTA,84,223.840,21.67,0.3912
FISTA,85,225.195,21.67,0.3911
FISTA,86,226.503,21.67,0.3910
FISTA,87,228.124,21.67,0.3910
FISTA,88,229.521,21.67,0.3911
FISTA,89,230.915,21.67,0.3910
FISTA,90,232.187,21.67,0.3910
FISTA,91,233.645,21.67,0.3910
FISTA,92,235.051,21.67,0.3910
FISTA,93,236.467,21.67,0.3910
FISTA,94,237.861,21.67,0.3911
FISTA,95,239.272,21.67,0.3912
FISTA,96,240.658,21.67,0.3910
FISTA,97,242.185,21.67,0.3910
FISTA,98,243.636,21.67,0.3911
FISTA,99,245.087,21.67,0.3911
FISTA,100,246.625,21.67,0.3912
FISTA,101,248.185,21.67,0.3911
FISTA,102,249.627,21.67,0.3911
FISTA,103,251.308,21.67,0.3909
FISTA,104,252.798,21.67,0.3911
FISTA,105,254.355,21.67,0.3911
FISTA,106,255.391,21.67,0.3911
FISTA,107,255.795,21.67,0.3911
FISTA,108,256.226,21.67,0.3911
FISTA,109,256.697,21.67,0.3910
FISTA,110,257.148,21.67,0.3910
FISTA,111,257.568,21.67,0.3910
FISTA,113,258.086,21.67,0.3911
FISTA,115,258.720,21.67,0.3911
FISTA,117,259.223,21.67,0.3911
FISTA,119,260.134,21.67,0.3910
FISTA,121,260.646,21.67,0.3911
FISTA,122,261.098,21.67,0.3911
FISTA,123,261.827,21.67,0.3911
FISTA,124,262.203,21.67,0.3910
FISTA,125,262.728,21.67,0.3911
FISTA,126,263.022,21.67,0.3909
FISTA,128,263.595,21.67,0.3911
FISTA,130,264.253,21.67,0.3910
FISTA,131,264.500,21.67,0.3911
FISTA,133,265.078,21.67,0.3910
FISTA,135,265.659,21.67,0.3909
FISTA,137,266.158,21.67,0.3910
FISTA,139,266.679,21.67,0.3910
FISTA,141,267.225,21.67,0.3910
FISTA,143,267.746,21.67,0.3911
FISTA,145,268.254,21.67,0.3910
FISTA,146,268.521,21.67,0.3910
FISTA,148,269.017,21.67,0.3911
FISTA,150,269.549,21.67,0.3911
FISTA,152,270.017,21.67,0.3911
FISTA,154,270.503,21.67,0.3911
FISTA,156,271.007,21.67,0.3911
FISTA,158,271.526,21.67,0.3910
FISTA,160,272.020,21.67,0.3911
FISTA,163,272.725,21.67,0.3910
FISTA,165,273.196,21.67,0.3910
FISTA,167,273.708,21.67,0.3909
FISTA,169,274.227,21.67,0.3911
FISTA,171,274.768,21.67,0.3911
FISTA,172,275.058,21.67,0.3911
FISTA,174,275.562,21.67,0.3910
FISTA,176,276.141,21.67,0.3910
FISTA,178,276.657,21.67,0.3911
FISTA,180,277.131,21.67,0.3911
FISTA,182,277.589,21.67,0.3911
FISTA,184,278.112,21.67,0.3910
FISTA,186,278.654,21.67,0.3910
FISTA,188,279.136,21.67,0.3909
FISTA,190,279.620,21.67,0.3910
FISTA,192,280.342,21.67,0.3910
FISTA,193,280.642,21.67,0.3911
FISTA,194,281.081,21.67,0.3911
FISTA,196,282.168,21.67,0.3910
FISTA,197,282.507,21.67,0.3911
FISTA,200,283.213,21.67,0.3910
FISTA,202,283.696,21.67,0.3910
FISTA,204,284.294,21.67,0.3910
FISTA,205,284.692,21.67,0.3911
FISTA,206,285.029,21.67,0.3910
FISTA,208,285.593,21.67,0.3911
FISTA,210,286.145,21.67,0.3909
FISTA,212,286.754,21.67,0.3910
FISTA,214,287.223,21.67,0.3910
FISTA,216,287.708,21.67,0.3911
FISTA,218,288.187,21.67,0.3910
FISTA,220,288.700,21.67,0.3911
FISTA,222,289.192,21.67,0.3911
FISTA,224,289.652,21.67,0.3909
FISTA,226,290.148,21.67,0.3911
FISTA,228,290.633,21.67,0.3910
FISTA,230,291.119,21.67,0.3911
FISTA,232,291.615,21.67,0.3910
FISTA,234,292.121,21.67,0.3911
FISTA,236,292.569,21.67,0.3910
