Algorithm,Iteration,Time_sec,PSNR,SSIM
AMDD,40,0.503,26.59,0.5921
AMDD,100,0.807,26.80,0.6059
AMDD,146,1.002,26.81,0.6062
AMDD,200,1.341,26.81,0.6063
AMDD,230,1.501,26.81,0.6063
AMDD,300,1.849,26.81,0.6063
ISTA,10,0.518,20.08,0.3507
ISTA,32,1.002,20.08,0.3507
ISTA,57,1.508,20.08,0.3508
ISTA,84,2.007,20.08,0.3508
ISTA,100,2.273,20.08,0.3508
ISTA,114,2.509,20.08,0.3508
ISTA,144,3.005,20.08,0.3508
ISTA,174,3.503,20.08,0.3508
ISTA,200,3.998,20.08,0.3508
ISTA,201,4.018,20.08,0.3508
ISTA,230,4.509,20.08,0.3507
ISTA,260,5.009,20.08,0.3508
ISTA,288,5.512,20.08,0.3508
ISTA,300,5.718,20.08,0.3508
FISTA,27,0.519,20.08,0.3509
FISTA,54,1.009,20.08,0.3509
FISTA,81,1.504,20.08,0.3509
FISTA,100,1.831,20.08,0.3509
FISTA,111,2.002,20.08,0.3509
FISTA,141,2.519,20.08,0.3509
FISTA,166,3.008,20.08,0.3509
FISTA,188,3.513,20.08,0.3508
FISTA,200,3.761,20.08,0.3508
FISTA,212,4.009,20.08,0.3509
FISTA,236,4.504,20.08,0.3508
FISTA,262,5.009,20.08,0.3509
FISTA,289,5.512,20.08,0.3509
FISTA,300,5.735,20.08,0.3509

"Threshold Hits (PSNR -> Iter, Time)"
Algorithm,Threshold(dB),Hit_Iteration,Hit_Time_sec
AMDD,20,2,0.298
AMDD,23,9,0.342
AMDD,25,18,0.399
ISTA,20,6,0.407
ISTA,23,Did Not Hit,N/A
ISTA,25,Did Not Hit,N/A
FISTA,20,4,0.066
FISTA,23,Did Not Hit,N/A
FISTA,25,Did Not Hit,N/A

BM3D Quick Profile
Time_sec,Final_PSNR,Final_SSIM
18.343,20.40,0.3994
